"Station","time.code","Deer.det","Coyote.det","start.date","end.date","days.available","days.inactive","days.active","Reservation","X","season","phase"
"BC1186","T20",27,1,2016-10-15,2016-10-30,16,0,16,"Big_Creek",NA,"autumn","rut"
"BC1186","T21",38,3,2016-10-31,2016-11-15,16,0,16,"Big_Creek",NA,"autumn","rut"
"BC1186","T22",28,3,2016-11-16,2016-12-01,16,0,16,"Big_Creek",NA,"autumn","rut"
"BC1186","T23",15,2,2016-12-02,2016-12-17,16,0,16,"Big_Creek",NA,"autumn","rut"
"BC1186","T24",38,1,2016-12-18,2016-12-31,14,0,14,"Big_Creek",NA,"winter","rut"
"BC1186","T3",23,1,2017-02-02,2017-02-17,16,0,16,"Big_Creek",NA,"winter","winter.forage"
"BC1186","T4",23,0,2017-02-18,2017-03-05,16,0,16,"Big_Creek",NA,"winter","winter.forage"
"BC1186","T5",22,0,2017-03-06,2017-03-21,16,0,16,"Big_Creek",NA,"winter","winter.forage"
"BC1186","T6",21,0,2017-03-22,2017-04-06,16,0,16,"Big_Creek",NA,"spring","winter.forage"
"BC1186","T7",23,1,2017-04-07,2017-04-22,16,0,16,"Big_Creek",NA,"spring","fawning"
"BC1186","T8",32,0,2017-04-23,2017-05-08,16,0,16,"Big_Creek",NA,"spring","fawning"
"BC1186","T9",31,1,2017-05-09,2017-05-24,16,0,16,"Big_Creek",NA,"spring","fawning"
"BE1004","T1",0,1,2017-01-01,2017-01-16,16,0,16,"Bedford",NA,"winter","winter.forage"
"BE1004","T10",9,0,2017-05-25,2017-06-09,16,0,16,"Bedford",NA,"spring","fawning"
"BE1004","T11",0,0,2017-06-10,2017-06-25,16,0,16,"Bedford",NA,"spring","fawning"
"BE1004","T12",0,0,2017-06-26,2017-06-30,5,0,5,"Bedford",NA,"summer","fawning"
"BE1004","T13",4,1,2016-07-01,2016-07-10,10,0,10,"Bedford",NA,"summer","summer.forage"
"BE1004","T14",8,2,2016-07-11,2016-07-26,16,0,16,"Bedford",NA,"summer","summer.forage"
"BE1004","T15",4,1,2016-07-27,2016-08-11,16,0,16,"Bedford",NA,"summer","summer.forage"
"BE1004","T16",2,1,2016-08-12,2016-08-27,16,0,16,"Bedford",NA,"summer","summer.forage"
"BE1004","T17",4,2,2016-08-28,2016-09-12,16,0,16,"Bedford",NA,"summer","summer.forage"
"BE1004","T18",1,0,2016-09-13,2016-09-28,16,0,16,"Bedford",NA,"autumn","summer.forage"
"BE1004","T19",0,1,2016-09-29,2016-10-14,16,0,16,"Bedford",NA,"autumn","rut"
"BE1004","T2",5,0,2017-01-17,2017-02-01,16,0,16,"Bedford",NA,"winter","winter.forage"
"BE1004","T20",3,0,2016-10-15,2016-10-30,16,0,16,"Bedford",NA,"autumn","rut"
"BE1004","T21",5,1,2016-10-31,2016-11-15,16,0,16,"Bedford",NA,"autumn","rut"
"BE1004","T22",1,0,2016-11-16,2016-12-01,16,0,16,"Bedford",NA,"autumn","rut"
"BE1004","T23",0,2,2016-12-02,2016-12-17,16,0,16,"Bedford",NA,"autumn","rut"
"BE1004","T24",0,0,2016-12-18,2016-12-31,14,0,14,"Bedford",NA,"winter","rut"
"BE1004","T3",5,0,2017-02-02,2017-02-17,16,0,16,"Bedford",NA,"winter","winter.forage"
"BE1004","T4",1,1,2017-02-18,2017-03-05,16,0,16,"Bedford",NA,"winter","winter.forage"
"BE1004","T5",1,2,2017-03-06,2017-03-21,16,0,16,"Bedford",NA,"winter","winter.forage"
"BE1004","T6",0,0,2017-03-22,2017-04-06,16,0,16,"Bedford",NA,"spring","winter.forage"
"BE1004","T7",3,1,2017-04-07,2017-04-22,16,0,16,"Bedford",NA,"spring","fawning"
"BE1004","T8",4,0,2017-04-23,2017-05-08,16,0,16,"Bedford",NA,"spring","fawning"
"BE1004","T9",1,0,2017-05-09,2017-05-24,16,0,16,"Bedford",NA,"spring","fawning"
"BE1011","T1",19,1,2017-01-01,2017-01-16,16,0,16,"Bedford",NA,"winter","winter.forage"
"BE1011","T10",0,0,2017-05-25,2017-06-09,16,0,16,"Bedford",NA,"spring","fawning"
"BE1011","T11",0,0,2017-06-10,2017-06-25,16,0,16,"Bedford",NA,"spring","fawning"
"BE1011","T12",0,0,2017-06-26,2017-06-30,5,0,5,"Bedford",NA,"summer","fawning"
"BE1011","T13",8,2,2016-07-01,2016-07-10,10,0,10,"Bedford",NA,"summer","summer.forage"
"BE1011","T14",4,2,2016-07-11,2016-07-26,16,0,16,"Bedford",NA,"summer","summer.forage"
"BE1011","T15",3,3,2016-07-27,2016-08-11,16,0,16,"Bedford",NA,"summer","summer.forage"
"BE1011","T16",1,1,2016-08-12,2016-08-27,16,0,16,"Bedford",NA,"summer","summer.forage"
"BE1011","T17",17,2,2016-08-28,2016-09-12,16,0,16,"Bedford",NA,"summer","summer.forage"
"BE1011","T18",4,2,2016-09-13,2016-09-28,16,0,16,"Bedford",NA,"autumn","summer.forage"
"BE1011","T19",7,3,2016-09-29,2016-10-14,16,0,16,"Bedford",NA,"autumn","rut"
"BE1011","T2",8,1,2017-01-17,2017-02-01,16,0,16,"Bedford",NA,"winter","winter.forage"
"BE1011","T20",11,3,2016-10-15,2016-10-30,16,0,16,"Bedford",NA,"autumn","rut"
"BE1011","T21",19,11,2016-10-31,2016-11-15,16,0,16,"Bedford",NA,"autumn","rut"
"BE1011","T22",5,13,2016-11-16,2016-12-01,16,0,16,"Bedford",NA,"autumn","rut"
